Company,City,Country,Industry,Investor,Last Valuation,Unicorn
Unreel.me,Santa Monica,United States,Search Engine,AerServ,7500000,0
Green Gorilla,Los Angeles,United States,Cannabis,,7500000,0
Miami Beverage Company (trimino),Branford,United States,Food and Beverage,Vineyard Point Associates,7500000,0
Leo Health,New York,United States,Child Care,SeedInvest,7500000,0
TempoQuest,Boulder,United States,Predictive Analytics,S-Cubed Capital,7500000,0
ShooWin,New York,United States,Events,BBG Ventures,7500000,0
reacHIRE,Concord,United States,Consulting,,7500000,0
PharmRight,Charleston,United States,Medical,South Carolina Research Authority,7500000,0
Sustain,New York,United States,E-Commerce,CircleUp,7500000,0
Gemstone Biotherapeutics,Baltimore,United States,3D Technology,National Science Foundation,7500000,0
Orchestra One,San Francisco,United States,Fitness,1776 Ventures,7500000,0
Linkapedia,Paoli,United States,Advertising Platforms,,7500000,0
PawnGuru.com,Ann Arbor,United States,E-Commerce,Impact America Fund,7500000,0
Kite & Lightning,Los Angeles,United States,Gaming,Boost VC,7500000,0
Avata Intelligence,Venice,United States,Artificial Intelligence,Aristos Ventures,7500000,0
InfiniTrak,Toledo,United States,Information Technology,Moulthrop LLC,7500000,0
Scientific Revenue,San Mateo,United States,Analytics,Walden Venture Capital,7500000,0
Hijro,Lexington,United States,Blockchain,Digital Currency Group,7500000,0
Token,New York,United States,Artificial Intelligence,Upfront Ventures,7500000,0
AVYST Technologies,Dallas,United States,Business Development,PIIAC,7500000,0
Sensor Films,Rochester,United States,Information Technology,Excell Partners,7500000,0
Emanate Wireless,Silver Spring,United States,Information Technology,National Science Foundation,7500000,0
Hurdl,New York,United States,Analytics,Techstars,7500000,0
RBC Signals,Redmond,United States,Communications Infrastructure,Baidu Ventures,7500000,0
MyRealKarma,Orlando,United States,Customer Service,PSB Venture Fund,7500000,0
Kwippit,Denver,United States,Messaging,Wildcat Capital Management,7500000,0
Aura Health,San Francisco,United States,Alternative Medicine,Reach Capital,8000000,0
Civic,San Francisco,United States,Blockchain,Digital Currency Group,8000000,0
Datatron,San Francisco,United States,Analytics,MassChallenge,8000000,0
Lia,Philadelphia,United States,Health Care,Ben Franklin Technology Partners of Northeastern Pennsylvania,8000000,0
Zipdrug,New York,United States,Delivery,The Honest Company,8000000,0
Health Via Modern Nutrition,San Francisco,United States,Dietary Supplements,Andreessen Horowitz,8000000,0
Gila Therapeutics,Minneapolis,United States,Fitness,Slater Technology Fund,8000000,0
FreshLime,Lehi,United States,B2C,,8000000,0
OrthoFi,Denver,United States,Enterprise Software,Accel-KKR,8000000,0
UNYQ,San Francisco,United States,3D Printing,seedchange,8000000,0
Capture Vascular,Telluride,United States,Health Care,,8000000,0
Tallo,Mt Pleasant,United States,E-Learning,Stride,8000000,0
Tenjin,San Francisco,United States,Ad Network,Y Combinator,8000000,0
Viken Detection,Burlington,United States,Computer,,8000000,0
The Insider,New York,United States,E-Commerce,Lerer Hippeau,8000000,0
Wootric,San Francisco,United States,Analytics,Alumni Ventures,8000000,0
Garmentory,Seattle,United States,E-Commerce,Techstars,8000000,0
ImpactVision,San Francisco,United States,AgTech,Maersk Growth,8000000,0
EverythingBenefits,New Providence,United States,Business Information Systems,,8000000,0
WiserCare,Los Angeles,United States,Health Care,Okapi Venture Capital,8000000,0
Verlocal,San Francisco,United States,E-Commerce,Plug and Play,8000000,0
SteamChain,Milwaukee,United States,Blockchain,gener8tor,8000000,0
One Month | Learn to Code in 30 Days,New York,United States,EdTech,Wefunder,8000000,0
Sudden Coffee,San Francisco,United States,Coffee,Y Combinator,8000000,0
Purple Squirrel,Los Angeles,United States,Employment,500 Global,8000000,0
Agent.ai,Mountain View,United States,Artificial Intelligence,Future Energy Ventures,8000000,0
